agency,year,state,population,ORI,card_unfound_pt,card_unfound_type,card_actual_type,card_tot_clr_type,card_clr_18_type,card_officers_type,card_actual_pt,card_tot_clr_pt,card_clr_18_pt,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_unarmed,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_theft_under50_dollar,tot_clr_assault_aggravated,tot_clr_index_violent,tot_clr_index_property,tot_clr_index_total,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_unarmed,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_theft_under50_dollar,clr_18_assault_aggravated,clr_18_index_violent,clr_18_index_property,clr_18_index_total,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_unarmed,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_theft_under50_dollar,unfound_assault_aggravated,unfound_index_violent,unfound_index_property,unfound_index_total
University of Michigan Flint Dept of Public Safety,2019-08-01,Michigan,0,MI81903,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,2,2,0,0,34,1,0,0,1,47,0,0,0,37,37,0,0,2,2,0,0,0,0,0,0,4,0,0,0,2,2,0,0,0,0,3,0,0,0,0,9,0,2,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Michigan Flint Dept of Public Safety,2019-09-01,Michigan,0,MI81903,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,0,0,1,0,1,0,0,0,0,0,21,0,0,0,0,21,0,0,0,0,42,0,0,0,0,64,0,0,1,42,43,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,1,0,0,0,0,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Michigan Flint Dept of Public Safety,2019-10-01,Michigan,0,MI81903,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,0,0,1,1,0,0,0,0,0,0,14,0,0,0,1,13,0,0,0,0,52,0,0,0,0,67,0,1,2,52,54,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,9,0,0,0,0,2,0,0,0,0,12,0,1,1,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Michigan Flint Dept of Public Safety,2019-11-01,Michigan,0,MI81903,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,0,0,1,1,0,0,0,0,0,0,16,0,0,0,0,16,0,0,0,0,43,0,0,0,0,60,0,0,1,43,44,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,1,1,0,0,3,0,0,0,0,11,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Michigan Flint Dept of Public Safety,2019-12-01,Michigan,0,MI81903,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,2,0,1,14,0,0,0,0,45,0,0,0,0,62,0,3,3,45,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Michigan Flint Dept of Public Safety,2019-01-01,Michigan,0,MI81903,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,0,0,2,2,0,1,0,0,0,1,10,0,0,0,0,10,1,1,0,0,26,0,0,0,0,40,0,0,3,27,30,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,2,0,0,0,0,8,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Michigan Flint Dept of Public Safety,2019-02-01,Michigan,0,MI81903,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,13,1,1,0,0,30,0,0,0,0,45,0,1,1,31,32,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,2,0,0,0,0,9,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Michigan Flint Dept of Public Safety,2019-03-01,Michigan,0,MI81903,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,9,0,0,0,0,49,1,0,0,1,60,0,1,1,50,51,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,4,0,0,0,0,1,0,0,0,0,6,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Michigan Flint Dept of Public Safety,2019-04-01,Michigan,0,MI81903,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,60,1,1,0,0,68,0,0,0,61,61,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,3,0,0,0,0,7,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Michigan Flint Dept of Public Safety,2019-05-01,Michigan,0,MI81903,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,41,1,0,0,1,52,0,0,0,42,42,0,0,0,0,0,0,0,0,0,0,10,0,4,0,0,6,0,0,0,0,2,1,1,0,0,13,0,4,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Michigan Flint Dept of Public Safety,2019-06-01,Michigan,0,MI81903,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,0,0,1,1,0,0,0,0,0,0,18,0,0,0,2,16,3,2,1,0,51,3,0,0,3,76,0,2,3,57,60,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,1,0,0,0,0,8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Michigan Flint Dept of Public Safety,2019-07-01,Michigan,0,MI81903,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,2,0,0,14,2,2,0,0,37,0,0,0,0,55,0,2,2,39,41,0,0,0,0,0,1,0,0,0,1,5,0,2,0,0,3,0,0,0,0,0,0,0,0,0,6,0,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Michigan Flint Dept of Public Safety,2019-08-01,Michigan,0,MI81903,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,2,2,0,0,34,1,0,0,1,47,0,0,0,37,37,0,0,1,1,0,0,0,0,0,0,4,0,0,0,2,2,0,0,0,0,3,0,0,0,0,8,0,2,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Michigan Flint Dept of Public Safety,2019-09-01,Michigan,0,MI81903,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,0,0,1,0,1,0,0,0,0,0,21,0,0,0,0,21,0,0,0,0,42,0,0,0,0,64,0,0,1,42,43,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,1,0,0,0,0,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Michigan Flint Dept of Public Safety,2019-10-01,Michigan,0,MI81903,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,12,0,0,0,0,51,0,0,0,0,64,0,1,1,51,52,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,9,0,0,0,0,3,0,0,0,0,13,0,1,1,3,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Michigan Flint Dept of Public Safety,2019-11-01,Michigan,0,MI81903,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,0,0,1,1,0,0,0,0,0,0,16,0,0,0,0,16,0,0,0,0,43,0,0,0,0,60,0,0,1,43,44,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,1,1,0,0,3,0,0,0,0,11,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Michigan Flint Dept of Public Safety,2019-12-01,Michigan,0,MI81903,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,1,15,0,0,0,0,43,0,0,0,0,60,0,2,2,43,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,4,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Michigan Flint Dept of Public Safety,2020-01-01,Michigan,0,MI81903,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,0,0,1,1,0,1,1,0,0,0,20,0,0,2,2,16,1,1,0,0,53,0,0,0,0,76,0,4,6,54,60,0,0,0,0,0,1,1,0,0,0,6,0,0,0,2,4,0,0,0,0,2,0,0,0,0,9,0,2,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Michigan Flint Dept of Public Safety,2020-02-01,Michigan,0,MI81903,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,0,0,22,21,1,0,0,0,0,0,14,0,0,0,1,13,1,1,0,0,44,1,1,0,0,82,0,1,23,46,69,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,6,0,0,0,0,2,0,0,0,0,9,0,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Michigan Flint Dept of Public Safety,2020-03-01,Michigan,0,MI81903,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,0,0,1,1,0,0,0,0,0,0,13,0,0,0,1,12,0,0,0,0,40,0,0,0,0,54,0,1,2,40,42,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,2,0,0,0,0,8,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Michigan Flint Dept of Public Safety,2020-04-01,Michigan,0,MI81903,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,9,1,1,0,0,12,0,0,0,0,23,0,1,1,13,14,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Michigan Flint Dept of Public Safety,2020-05-01,Michigan,0,MI81903,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,16,0,0,0,0,23,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Michigan Flint Dept of Public Safety,2020-06-01,Michigan,0,MI81903,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,1,1,0,0,16,3,1,0,2,26,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Michigan Flint Dept of Public Safety,2020-07-01,Michigan,0,MI81903,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1,0,15,1,1,0,0,20,1,0,0,1,38,0,1,1,22,23,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,2,0,0,0,0,7,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Michigan Flint Dept of Public Safety,2020-08-01,Michigan,0,MI81903,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,2,1,0,1,25,0,0,0,0,36,0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Michigan Flint Dept of Public Safety,2020-09-01,Michigan,0,MI81903,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17,0,0,0,0,41,0,0,0,0,58,0,0,0,41,41,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,9,0,0,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Michigan Flint Dept of Public Safety,2020-10-01,Michigan,0,MI81903,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,0,0,1,1,0,0,0,0,0,0,18,2,0,2,1,13,2,1,1,0,21,0,0,0,0,42,0,5,6,23,29,0,0,1,0,1,0,0,0,0,0,12,0,0,2,0,10,0,0,0,0,1,0,0,0,0,14,0,2,3,1,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Michigan Flint Dept of Public Safety,2020-11-01,Michigan,0,MI81903,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,0,0,0,0,0,1,1,0,0,0,10,0,0,0,1,9,2,1,1,0,20,2,2,0,0,35,0,1,2,24,26,0,0,0,0,0,1,1,0,0,0,9,0,0,0,2,7,0,0,0,0,0,0,0,0,0,10,0,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Michigan Flint Dept of Public Safety,2020-12-01,Michigan,0,MI81903,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,14,1,1,0,0,26,0,0,0,15,15,0,0,1,1,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Michigan Flint Dept of Public Safety,2021-01-01,Michigan,0,MI81903,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,11,2,2,0,0,12,1,1,0,0,27,0,1,1,15,16,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,6,1,1,0,0,0,1,1,0,0,9,0,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Michigan Flint Dept of Public Safety,2021-02-01,Michigan,0,MI81903,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,13,1,0,0,1,5,0,0,0,0,20,0,1,1,6,7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,1,1,0,0,0,0,0,0,0,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Michigan Flint Dept of Public Safety,2021-03-01,Michigan,0,MI81903,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,9,0,0,0,0,15,0,0,0,0,25,0,1,1,15,16,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,6,0,0,0,0,1,0,0,0,0,8,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Michigan Flint Dept of Public Safety,2021-04-01,Michigan,0,MI81903,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,1,0,0,1,17,0,0,0,0,34,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,1,1,0,0,16,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Michigan Flint Dept of Public Safety,2021-05-01,Michigan,0,MI81903,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,0,0,2,2,0,1,0,0,0,1,13,0,0,0,2,11,1,0,0,1,21,0,0,0,0,38,0,2,5,22,27,0,0,0,0,0,1,0,0,0,1,10,0,0,0,0,10,0,0,0,0,1,0,0,0,0,12,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Michigan Flint Dept of Public Safety,2021-06-01,Michigan,0,MI81903,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,15,0,0,0,0,25,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,2,0,0,0,0,14,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
